,altname,altt,alttitle,altwhy,aw,award,awards,awattr,awref,awtype,bnote,bt,budget,by,cat,cattext,cost,coverage,date,dir,diraw,diraward,dirid,dirk,dirn,dirname,dirnote,dirstart,dist,distr,distributor,error,facts,fid,filmed,films,fnote,inc,kname,lang,length,mnote,moneynote,moneynotes,name,nm,nnote,notes,paw,pawattr,period,pname,prc,prcnote,prctext,prod,prodk,prodnote,prods,profit,rating,refdest,refto,reftype,released,rereleased,seen,sername,serno,sersize,sert,siteat,siteclass,sitedes,sitename,siteplace,sitetype,studio,studioloc,studios,t,time,ttl,url,vt,year
1580,,,,,,,,****,,RE,,,,,Comd,Pseudo Docu,,all,,,,,ABr,R,A.Brooks,A.Brooks,,@1979,,,,,,ABr9,,"
   ",,,,,,,,,Monica Johnson,,,,,,,Mart Katz,col,,,,N,,,,R,,,,,,6Sep1991,,,,,,afterlife,heaven,Las Vegas,CA,,Warners,,,The Muse,,,,,1998
1581,,,,,,,,,,Cesardir,,,,,BioP,,,,,,,,AlC,R,Corneau,Corneau,,@1979,,,,,,AlC20,,"
   ",,,,\Fr,,,,,Jordi Savall ;Cesar,,,,,,"1660, 1720",,col,,,,,,,,,,,,,,,,,,,Paris,palace,suburb,Versailles,France,,Gaumont,,,Tous Les Matins Du Monde,,,,,1992
1582,,,,,,,,,,,,,,,,,,,,,,,AnC,R,Cardoza,Cardoza,,@1979,,,,,,AnC10,,"
   ",,,,,,,,,T. Gary Cardoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smokey and the Hotwire Gang,,,,,1979
1583,,,,,,,,0,,H,,,,,,,,,,,,,BaB,R,Ba.Brown,Ba.Brown,,@1979,,,,,,BaB10,,"
   ",,,,,,,,,William Goodhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,airplane,stunt airplanes,,USA,,,,,Cloud Dancer,,,,,1979
1584,,,,,,,,0,,H,,,,,Comd,,,,,,,,BBi,R,Bilson,Bilson,,@1979,,,,,,BBi10,,"
   ",,,,,,,,,,,,,,,,,Tcol,,,,,,,,PG,,,,,,,,,,,,,,,,,Disney,,,North Avenue Irregulars,,,,,1979
1585,,,,,,,,,,,,,,,,,,,,,,,BWN,R,Norton,Norton,,@1979,,,,,,BWN1,,"
   ",,,,,,,,,,,,,,,,G.Lucas,Tcol ,,,,R,,,,,,,,,,,,,,,,,,,,,Universal,,,More American Graffiti,,,,,1979
1586,,The Vampire Hookers,,1980,,,,,,,,,,,Actn,,,,,,,,CiS,R,Santiago,Santiago,,@1979,,,,,,CiS40,,"
   ",,,,,,,,,Howard Cohen,,,,,,,Christopher R. Santiago,col,,,,N,,,,R,,,,,,,,,,,,mil.inst.,,,Vietnam,,New Horizons,,,Eye of the Eagle III,,,,,1990
1587,,,,,,,,,,,,,,,CnRb,,,,,,,,DLD,R,DeLuise,DeLuise,,@1979,,,,,,DLD10,,"
   ",,,,,,,,,Donald Westlake,,,,,,,,Mcol,,,,,,,,PG,,,,,,,,,,,,,,,,,Rastar,,,Hot Stuff,,,,,1979
1588,,,,,,,,,,,,,,,Dram,,,,,,,,EWS,R,Swackhamer,Swackhammer,,@1979,,,,,,EWS10,,"
   ",,,,,,,,,,,,,,,,Gregory Hoblit,col,,,,N,,,,,,,,,,,,,,,,town,,S.F.,GA,,USA,,,The Secret Passion of Robert Clayton,,,,,1992
1589,,,,,,,,0,,H,,,,,Susp,,,,,,,,FWa,R,Walton,Walton,,@1979,,,,,,FWa10,,"
   ",,,,,,,,,,,,,,,,Melvin Simon,col,,,,N,,,,R,,,,,,,,,,,,,,,,,U.A.,,,When a Stranger Calls,,,,,1979
1590,,,,,,,,,,,,,,,Romt,,,,,,,,GiA,R,Armstrong,Armstrong,,@1979,,,,,,GiA35,,"
   ",,,,,,,,,Peter Carey,,pseudonym,,,,1860,Jan Chapman,col,,,,N,,,,R,,,,,,,,,,,New England,town,house,,Australia,,Fine Line Features,,,Oscar and Lucinda,,,,,1996
1591,,,,,,,,,,Kron most sexy,,,,,CnRb,,,first,,,,,HBe,R,H.Becker,H.Becker,,@1979,,,Columbia,,,HBe20,,"
   ",,,,,,,,,Wills,,,,,,,Becker,col,,,,X,,,,R,,,,,,20May1990,,,,,campus,city,creaky mansion,NYC,NY,,NewLine,,,Mercury Rising,,,,,1998
1592,,,,,,,,**,[5],CG,,,,,Advt,,,first,,,,,ICt,R,Cotter,Cotter,,@1979,,,,,,ICt10,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,G,,,,,,,,3,,Mountain Family,,csd,,,CA,,,,,Mountain Family Robinson,,,,,1979
1593,,,,,,,,,,,,,,,Susp,,,,,,,,IRd,X,Stuart Freeman,Reid,,@1979,,,,,,Ird16,,"
   ",,,,,,,,,Roger Hall,,,,,,1944,,col,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,Last Tattoo,,,,,1994
1594,,,,,,,,*,[5],CG,,,,,,,,,,,,,JaF,R,Fanaka,Fanaka,,@1979,,,,,,JaF10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,jail,prison,,USA,,,,,Penitentiary,,,,,1979
1595,,,,,,,,*,,H,,,,,Dram,,,,,,,,MBr,R,Brest,Brest,,@1979,,,,,,MBr25,,"
   ",,,,,,,,,B.Goldman,,,,,,,Brest,col,,,,R,,,,PG,,,,,,,,,,,MidWest,city,,NYC,NY,,Universal,,,Meet Joe Black,,,,,1998
1596,,,,,,,,0,,H,,,,,Dram,,,,,,,,MCp,R,Ma.Chapman,Ma.Chapman,,@1979,,,,,,MCh5,,"
   ",,,,,,,,,,,,,,,,,Ecol,,,,,,,,R,,,,,,,,,,,,,,,,,Boyd's company,,,Hussy,,,,,1979
1597,,,,,,,,,,,,,,,,,,,,,,,MeS,R,M.Stuart,M.Stuart,,@1979,,,,,,MeS10,,"
   ",,,,,,,,,George Lefferts,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,Mean Dog Blues,,,,,1979
1598,,,,,,,,0,,AANdir,,Red Dragon,,,Noir,,,,,,,,MM,R,M.Mann,M.Mann,,@1979,,,,B(Richard Harris),,MM41,,"
   ",,,M.Mann,,,,,,sw,,,,AAN,,1995,Howard W. Koch~jr.,sp,,,,X,,,,R,,,,,,,,,,,,city,tobacco company,L.A.,CA,,Buena Vista,,,Collateral,,,,,2004
1599,,,,,,,,0,,H,,,,,ScFi,,,,,,,,MLt,R,M.Lester,M.Lester,,@1979,,,,"D, yy)",,MLt22,,"
   ",,,,,,,,,Stanley Mann,,,,,,,Tom Holland,TV,,,,N,,,,R,,,,,,,,,,,,space,,Manhattan,Universe,,,Canada,,Amazon Women on the Moon,,,,,1989
1600,,,,,,,,0,,H,,,,,Fant,,,first,,,,,MRb,R,Robbins,Robbins,,@1979,,,,Aw(H),,MRb15,,"
   ",,,,,,,,,,,,,,,,Hal Barwood,Mcol,,,,X,,,,PG,,,,,,,,,,,,,,,,,Disney,,,The Dragonslayer,,,,,1981
1601,,,,,,,,,,,,,,,Dram,,,,,,,,MxS,R,Schell,Schell,,@1979,,,,,,MxS10,,"
   ",,,,,,,,,Odon vonHorvath,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,Vienna,Austria,,,,,Tales from the Vienna Woods,,,,,1979
1602,,,,,,,,,,,,,,,ScFi,,27M,first,,,,,NiM,R,N.Meyer,N.Meyer,,@1979,,,,D,,NiM30,,"
   ",,,Rosza,,,,,,G.Roddenberry,,,,,,,Rick Berman,col,,,,R,,,,PG,,,,,,1Nov1989,,7,,Star Trek,,space,,S.F.,Universe,,Paramount,,,"Star Trek, Generations",,,,,1994
1603,,,,,,,,,,,,,,,,,,first,,,,,PAa,R,Aaron,Aaron,,@1979,,,,,,PAal,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,,,,,,,,,A Force of One,,,,,1979
1604,,,,,,,,,,,,,,,,,,first,,,,,RDS,R,R.D.Silver,R.D.Silver,,@1979,,,,,,RDS2,,"
   ",,,,,,,,,,,,,,,,R.D.Silver,bnw,,,,R,,,,,,,,,,,,,,,,,,,,,Midwest Films,,,Walk on the Moon,,,,,1985
1605,,,,,,,,0,,H,,,,,Comd,,,,,,,,SDr,R,Dragoti,Dragoti,,@1979,,,,,,SDr10,,"
   ",,,J.Hughes,,,,,,Robert Kaufman,,,,,,1970,Aaron Spelling,Mcol,,,,N,,,,PG,,,,,,,,,,,,city,,NYC,NY,,Sherwood,,,Mr.~Mom,,,,,1983
1606,,,,,,,,,,,,,,,,,,,,,,,SMa,R,Margolin,Margolin,,@1979,,,,,,SMa10,,"
   ",,,,,,,,,William Harrison,,,,,,,,,,,,,,,,TV,,,,,,,,,,,,,,,,,,,,A Shining Season,,,,,1979
1607,,,,,,,,0,,H,,,,,Dram,,,first,,,,,SyS,R,Stallone,Stallone,,@1979,,,,,,Sys3,,"
   ",,,,,,,,,Sylvester Stallone,,,,AAN,,,Chartoff,Mcol,,,,X,,,,PG,,,,,,,,,,,,city,,Philadelphia,PA,,MGM-U.A.,,,Rocky IV,,,,,1985
1608,,,,,,,,,,,,,,,,,,,,,,,TJe,R,Jeffrey,Jeffrey,,@1979,,,,,,TJe10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Odd Angry Shot,,,,,1979
1609,,,,,,,,0,,H,,,,,BioP ,,,,,,,,TrJ,R,T.Jones,T.Jones,,@1979,,,,T.Jones D),,TrJ20,,"
   ",,,,,,,,,T.Jones,,,,,,50,John Goldstone,Tcol,,,,N,,,,R,,,,,,,,,,,,,,,GB,,Universal,,,Personal Services,,,,,1987
1610,,,,,,,,,,,,,,,ScFi,,,first,,,,,YoK,N,Hirokawa,Kawajiri,,@1979,,,,,,YoK1,,"
   ",,,,,,,,,E.E. `Doc' Smith,,,,,,,,col,,,,,,,,,,,,,,,,,,,,space,,,Universe,,Kodansha,,,Lensman,,,,,1979
1611,,,,,,,,,,,,,,,Comd,,,,,,,,WRi,R,Richert,Richert,,@1979,,,,y(19yy),,WRi20,,"
   ",,,,,,,,,Zsigmond,,,,,,,Russel Schwartz,col,,,,N,,,,R,,,,,,,,,,,,city,,Chicago,IL,,Fox,,,A Night in the Life of Jimmy Reardon,,,,,1985
1612,,,,,,,,*,[5],CG,,,,,Comd,,,,,,,,ALi,R,Linson,Linson,,@1980,,,,,,ALi15,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,R,,,,,,,,,,,,school,high school,,USA,,Universal,,,The Wild Life,,,,,1984
1613,,,,,,,,,,,,,,,,,,first,,,,,AnA,R,Ascot,Ascot,,@1980,,,,y(19yy?,,AnA10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Gunslinger,,,,,1980
1614,,,,,,,,,,,,,,,,,,,,,,,BBr,R,B.Brooks,B.Brooks,,@1980,,,,,,BBr10,,"
   ",,,,,,,,,Wurtzel,,,,,,,Levine,Tcol,,,,R,,,,,,,,,,,,,,,,,,,,,,,,Tatoo,,,,,1980
1615,,,,,,,,,,,,,,,,,,,,,,,BBy,R,Bryant,Bryant,,@1980,,,,,,BBy10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,Lifepod,,,,,1980
1616,,,,,,,,,,,,,,,,,,,,,,,BGr,R,Greenspan,Greenspan,,@1980,,,,y(19yy?),,BGr10,,"
   ",,,,,,,,,Bud Greenspan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilma,,,,,1980
1617,,,,,,,,,,,,,,,Musc,,,,,,,,CBd,R,C.Ballard,C.Ballard,,@1980,,,,y(19yy),,CBd30,,"
   ",,,,,,,,,Tchaikowsky,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,sea,,Arctic,,,,,,"Nutcracker, the Motion Picture",,,,,1989
1618,,,,,,,,,,Cesar,,,,,Romt,,,,,,,,ClP,R,Pinoteau,Pinoteau,,@1980,,,,,,ClP18,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaumont,,,L'etudiante,,,,,1988
1619,,,,,,,,,,,,,,,Dram,,,,,,,,DdP,R,delaPatelliere,delaPatelliere,,@1980,,,,,,DdP10,,"
   ",,,,,205min,,,,Alexandre Dumas,,,,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Conte de Monte Christo,,,,,1980
1620,,,,,,,,*,[5],CG,,,,,Horr,,,,,,,,DeH,R,D.Harris,D.Harris,,@1980,,,,,,DeH10,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,R,,,,,,,,,,,,school,college dorm,,USA,,,,,Silent Scream,,,,,1980
1621,,,,,,,,,,,,,,,,,,,,,,,DHx,R,Heroux,Heroux,,@1980,,,,y(19yy?,,DHx10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naked Massacre,,,,,1980
1622,,,,,,,,*,[5],CG,,,,,,,,,,,,,DIr,R,Irving,Irving,,@1980,,,,y(19yy?),,DIr10,,"
   ",,,,,,,,,Nicholas Pike,,,,,,,Jonathan D. Kramer,col,,,,N,,,,R,,,,,,,,,,,,,,,,,Vestron,,,"C.H.U.D. II, Bud the Chud",,,,,1984
1623,,Am I beautiful,,,,,,,,,,,,,Comd,,,,,,,,DDo,R,Dorrie,Dorrie,,@1980,,,,y(19yy),,DDo25,,"
   ",,,,\Ge,,,,,Dorrie,,,,,,,,col,,,,,,,,,,,,,,,,,,,,,,,,,Cobra,,,Bin Ich schoen?,,,,,1998
1624,,,,,,,,0,,H,,,,,Susp,,,,,,,,EBi,R,Bianchi,Bianchi,,@1980,,,,,,EBi10,,"
   ",,,,,,,,,,,,,,,,Robert Stigwood,Tcol,,,,N,,,,R,,,,,,,,,,,,city,,NYC,NY,,Filmways,,,The Fan,,,,,1980
1625,,,,,,,,,,,,,,,Actn,,,,,,,,ErK,R,Karsen,Karsen,,@1980,,,,D(Anders Jensen),,ErK30,,"
   ",,,,,,,,,,,,,,,,Alan Schecter,col,,,,N,,,,R,,,,,,,,,,,East,slum,,L.A.,CA,,Imperial,,,Nemesis,,,,,1992
1626,,,,,,,,,,,,,,,Porn,,,first,,,,,FOR,R,F.O.Ray,F.O.Ray,,@1980,,,,y(19yy),,FOR30,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,,city,,Beverly Hills,CA,,,,,Gad Girls from Mars,,,,,1990
1627,,,,,,,,,,AAfor,,,,,Dram,,,,,,,,FRa,R,Rademakers,Rademakers,,@1980,,,MGM,,,FRa10,,"
   ",,,,Dutch,,,,,,,,,,,1945,Rademakers,col,,,,N,,,,,,,,,,,,,,,,,,,Holland,,,,,The Assault,,,,,1980
1628,,,,,,,,0,[5],H,,,,,Comd,,,,,,,,GBo,R,Bowers,Bowers,,@1980,,,,,,GBo15,,"
   ",,,,,,,,,Leon Isaac Kennedy,,,,,,,,DeLuxe,,,,,,,,R,,,,,,,,,,,,,,,,,Crown,,,My Tutor,,,,,1983
1629,,,,,,,,,,,,Lambada,,,Musc,,,,,,,,GCl,R,G.Clark,G.Clark,,@1980,,,Columba,y(19yy),,GCl20,,"
   ",,,,,,,,,,,,,,,,Menahem Golem,DeLuxe,,,,N,,,,PG13,,,,,,12Dec1994,,,,,,town,jungle,Hollywood,CA,,Century,,,The Forbidden Dance,,,,,1990
1630,,,,,,,,,,,,,,,,,,,,,,,GPe,R,Peppard,Peppard,,@1980,,,,y(19yy? D:Peppard?),,GPe10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,,,,,,,,,From Hell to Victory,,,,,1980
1631,,,,,,,,,,,,,,,ScFi,,,first,,,,,GMu,R,G.Murphy,G.Murphy,,@1980,,,HBO,y(1981),,GMu21,,"
   ",,40M,,,,,,,Sam Pillsbury,,,,,,"1976, 1996",x Rosenblatt ,col,,,,X,,,,,,,,,,,,,,,Hollywood,movies,,,CA,,Alphaville,\NZ,,Don't Look Back,,,,,1996
1632,,,,,,,,*,,H,,,,,Susp,,,,,,,,GMx,R,Mendelux,Mendelux,,@1980,,,,"D(Mendelux), sp(Mendeluk)",,GMx5,,"
   ",,,,,,,,,Paul Zasa,,,,,,,John Ryan,DeLuxe,,,,X,,,,PG,,,,,,20Mar1990,,,,,Ontario,city,,Toronto,Canada,,Sefel ,Canada,,The Kidnapping of the President,,,,,1980
1633,,,,,,,,#50,,Fun,,,,,Comd,,,,,,,,GNs,R,G.Nelson,G.Nelson,,@1980,,,,Dir,,GNs15,,"
   ",,,,,,,,,,,,,,,,G.Nelson,col,,,,R,,,,PG,,,,,,,,,,,,,,,,,Disney,,,Get Crazy,,,,,1983
1634,,,,,,,,**,[5],CG,,,,,Dram,,,,,,,,GTr,R,Trikonis,Trikonis,,@1980,,,,,,GTr12,,"
   ",,,,,,,,,Hesper Anderson,,,,,,,,col,,,,,,,,PG,,,,,,,,,,,,,,,,,,,,Take this Job and Shove it,,,,,1981
1635,,,,,,,,,,,,,,,,,,,,,,,GaW,R,Weis,Weis,,@1980,,,,,,GaW10,,"
   ",,,,,,,,,Guy Thomas,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,,,,,,,,,Wholly Moses,,,,,1980
1636,,National Lampoon's Summer Vacation,,Europe,,,,0,,H,,,,,Comd,,,,,,,,HaR,R,Ramis,Ramis,,@1980,,,,"D, 19yy)",,HaR28,,"
   ",,,J.Hughes,,,,,,Danny Rubin,,,,,,,Jane Rosenthal,col,,,,X,,,,R,,,,,,6Ocy1997,,5,,National Lampoon,,csd,village,Punxsutawney,PA,,Warners,,,Analyze This,,,,,1999
1637,,,,,,,,,,,,,,,Horr,,,,,,,,IBd,R,J.Ballard,J.Ballard,,@1980,,,,W:other Friday the 13th?,,IBd10,,"
   ",,,,,,,,,Kevin Williamson,,,,,,,,col,,,,,,,,,,,,,,,,,,,,,,,,,World Northal,,,Friday the 13th ... The Orphan,,,,,1980
1638,,,,,,,,0,,H,,,,,Dram,,,,,,,,IBy,R,Byrum,Byrum,,@1980,,,,,,IBy15,,"
   ",,,,,,,,,W.Somerset Maugham,,,,,,,Harry Bent,col,,,,X,,,,R,,,,,,,,,,,,csd,,S.F.,GB,,Columbia,,,The Razor's Edge,,,,,1984
1639,,,,,,,,not,,H,,,,,,,,,,,,,IHm,R,Houseman,Houseman,,@1980,,,,,,IHm10,,"
   ",,,,,,,,,David W. Rintels,,,,,,,,,,,,,,,,TV,,,,,,,,,,,,,,,,,,,,Gideon's Trumpet,,,,,1980
1640,,,,,,,,*,,H,,,,,Actn,,,,,,,,IMz,R,Mackenzie,Mackenzie,,@1980,,,,,,IMz10,,"
   ",,,,,,,,,,,,,,,,Barry Hanson,col,,,,N,,,,R,,,,,,,,,,,London,town,,East End,GB,,Black Lion,,,The Long Good Friday,,,,,1980
1641,,,,,,,,*,,H,,,,,Romt,,,,,,,,IIr,R,Irvin,Irvin,,@1980,,,,,,IIr32,,"
   ",,,,,,,,,Ashley Rose,,,,,,1937,Eva Monley,Ecol,,,,X,,,,PG,,,,,,8Aug1998,,,,,,resort,resort,Lake Como,Italy,,Miramax,,,A Month by the Lake,,,,,1996
1642,,,,,,,,0,,H,,,,,Advt,,,,,,,,IQd,R,Quested,Quested,,@1980,,,,,,IQd10,,"
   ",,,,,,,,,,,,,,,,David Korda,col,,,,X,,,,,,,,,,,,,,,,city,,London,GB,,Brent Walker,,,Loophole,,,,,1980
1643,,,,,,,,****,,RE,,,,,Docu,,,,,,,,IrW,R,Wohl,Wohl,,@1980,,,,,,IrW10,,"
   ",,,,,,,,,,,,,,,,Wohl,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,Best Boy,,,,,1980
1644,,,,,,,,,,,,,,,Dram,,3M,,,,,,ISy,R,Sayles,Sayles,,@1980,,,,y(19yy),,ISy29,,"
   ",,,,,,,,,Haskell Wexler,,,,,,1920,,col,,,,,,,,R,,,,,,,,,,,,island,mansion,Hudson City,Alaska,,,,,Limbo,,,,,1999
1645,,,,,,,,,,,,,,,,,,first,,,,,ITr,R,John Trent,Trent,,@1980,,,,,,ITr1,,"
   ",,,,,,,,,,,,,,,,Sid Kroft,DeLuxe ,,,,N,,,,,,,,,,,,,,,,,,,,,Tormont,,,Middle-age Crazy,,,,,1980
1646,,,,,,,,0,,H,,,,,Advt,,,,,,,,JfW,R,J.Werner,J.Werner,,@1980,,,,,,JfW5,,"
   ",,,,,,,,,,,,,,,,,Tcol,,,,,,,,PG,,,,,,,,,,,,,,,,,,US,,Die Laughing,,,,,1980
1647,,,,,,,,**,[5],CG,,,,,Actn,,,,,,,,JGl,R,Glickenhaus,Glickenhaus,,@1980,,,,y(19yy),,JGl20,,"
   ",,,,,,,,,Glickenhaus,,,,,,,David Chan,col,,,,N,,,,R,,,,,,,,,,,,slum,,South Bronx,Hong Kong,,Golden,,,The Protector,,,,,1990
1648,,Top Secret,,TV,,,,#75,,Fun,,,,,Comd,,,,,,,,JiA,R,J.Abrahams,Abrahams,,@1980,,,Paramount,"D, y(19yy)",,JiA18,,"
   ",,,Elmer~Bernstein,,,,,,Proft,,,,,,,J.Abrahams,col,,,,X,,,,PG13,,,,,,1Dec1993,,,,,East,airplane,airplanes,,Iraq,,Paramount,,,Hot Shots! Part Deux,,,,,1993
1649,,,,,,,,,,,,,,,Dram,,,,,,,,JoO,R,Oliansky,Oliansky,,@1980,,,,,,JoO10,,"
   ",,,,,,,,,Oliansky,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,city,,S.F.,CA,,,,,The Competition,,,,,1980
1650,,,,,,,,0,,H,,,,,Susp,,,,,,,,JoS,R,Schumacher ,Schumacher,,@1980,,,,D,,JoS27,,"
   ",,59M,L.Cohen,,,,,,Akiva Goldsman,,,,,,,Peter McGregorSmith,sp,,,,R,,,,R,,,,,,23Oct1997,,1,,Telephone,Chicago,city,,NYC,NY,,Fox,,,Phone Booth,,,,,2002
1651,,,,,,,,0,,H,,,,,Advt,,,,,,,,JrF,R,Freedman,Freedman,,@1980,,,,,,JrF10,,"
   ",,,,,,,,,,,,,,,,Martin Stanger,col,,,,N,,,,PG,,,,,,,,,,,,,,,,,ITC,,,Borderline,,,,,1980
1652,,,,,,,,0,,H,,,,,Dram,,,,,,,,JsC,R,Caan,Caan,,@1980,,,,,,JsC10,,"
   ",,,,,,,,,,,,,,,,Rick Rosenberg,Mcol,,,,X,,,,PG,,,,,,,,,,,,,,,,,MGM,,,Hide in Plain Sight,,,,,1980
1653,,,,,,,,,,,,,,,,,,,,,,,JSd,R,J.Sandrich,J.Sandrich,,1980,,,,,,JSd10,,"
   ",,,,,,,,,N.Simon,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,,,,,,,,,Seems Like Old Times,,,,,1980
1654,,,,,,,,*,,H,,,,,Porn,,,,,,,,JTM,R,Murakami,Murkami,,@1980,,,,,,JTM20,,"
   ",,,,,,,,,Sayles,,,,,,,Ed Carlin,col,,,,X,,,,PG,,,,,,,,,,,,space,,,Universe,,New World,,,Tokyo Decadence,,,,,1980
1655,,,,,,,,,,,,,,,Musc,,,first,,,,,JuT,R,Temple,Temple,,@1980,,,,,,JuT15,,"
   ",,,,,,,,,,,,,,,,Tony Garnett,col ,,,,N,,,,,,,,,,,,,,,,,,,,,Vestron,,,Earth Girls Are Easy,,,,,1989
1656,,,,,,,,,,,,,,,,,,,,,,,KeD,R,Dobson,Dobson,,@1980,,,,y(1980?,,KeD10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Mango Tree,,,,,1980
1657,,,,,,,,0,,CG,,,,,Horr,,,,,,,,KW,R,Wiederhorn,Wiederhorn,,@1980,,,,,,KW10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,Eyes of a Stranger,,,,,1980
1658,,,,,,,,,,,,,,,,,,,,,,,LGG,R,Goldfarb,Goldfarb,,@1980,,,,,,LGG10,,"
   ",,,,,,,,,Goldfarb,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,,,,,,,,,Stuckey's Last Stand,,,,,1980
1659,,,,,,,,,,,,,,,,,,,,,,,LGr,R,Garrett,Garrett,,@1980,,,,y(19yy?),,LGr10,,"
   ",,,,,,,,,George Kirgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terraces,,,,,1980
1660,,,,,,,,,,,,,,,,,,,,,,,LSc,R,Schiller,Schiller,,@1980,,,,y(19yy?),,LSc10,,"
   ",,,,,,,,,Rita Lakin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hey, I'm Alive",,,,,1980
1661,,,,,,,,,,,,,,,Fant,,,,,,,,LuP,R,Pintilie,Pintilie,,@1980,,,,,,LuP30,,"
   ",,,,\Ro,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,Romania,,,,,The Oak,,,,,1991
1662,,,,,,,,,,,,,,,ScFi,,22M,,,,,,MHo,R,Hodges,Hodges,,@1980,,,,,,MHo10,,"
   ",,,,,,,,,,,,,,,,deLaurentiis,col,,,,R,,,,,,,,,,,,,,,,,,,,,Universal ,\GB,,Flash Gordon,,,,,1980
1663,,,,,,,,0,,H,,,,,Dram,,,,,,,,MtD,R,M.Davidson,M.Davidson,,@1980,,,,,,MtD10,,"
   ",,,,,,,,,,,,,,,,Stephen Freedman,p\Mcol,,,,N,,,,PG,,,,,,,,,,,,,,,,,MGM,,,Hero at Large,,,,,1980
1664,,Deadly Game,,USA,,,,*,,H,,,,,Romt,,,first,,,,,MBm,R,M.Brickman,M.Brickman,,@1980,,,,,,MBm3,,"
   ",,,,,,,,,,,,,,,,Ferren,Tcol,,,,N,,,,PG,,,,,,29Sep1997,,,,,Ithaca,city,labs,NYC,NY,,Fox,,,The Manhattan Project,,,,,1985
1665,,,,,,,,0,,H,,,,,West,,,,,,,,MDa,R,Damski,Damski,,@1980,,,,,,MDa10,,"
   ",,,,,,,,,,,,,,,,Carter deHaven~jr,DeLuxe,,,,N,,,,PG,,,,,,,,,,,,,,,,,Orion,,,Yellowbeard,,,,,1983
1666,,,,,,,,,,,,,,,,,,,,,,,MlB,R,Brault,Brault,,@1980,,,,,,MlB10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper Wedding,,,,,1989
1667,,,,,,,,,,,,But not for me,,,Dram,,,,,,,,MNe,R,Newell ,Newell,,@1980,,,,T(spell),,MNe29,,"
   ",,,Richard~Curtis,,,,,,Paul Attanasio,,,,AAN,,1950,Duncan Kenworthy,col,,,,N,,,,R,,,,,,,,,,,Scotland,city,villa,Liverpool,England,,Polygram ,,,Donnie Brasco,,,,,1997
1668,,,,,,,,,,,,,,,,,,,,,,,MRc,R,Reichert,Reichert,,@1980,,,,y(19yy?),,MRc10,,"
   ",,,,,,,,,Mark Reichert,,,,,,,,,,,,,,,,PG,,,,,,,,,,,,,,,,,,,,Union City,,,,,1980
1669,,,,,,,,,,,,,,,Docu,,,,,,,,NRo,R,Rosenbloom,Rosenbloom,,@1980,,,,y(19yy),,NRo12,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through the Wire,,,,,1980
1670,,All About My Mother,,,,,,,,AAN,,,,,Dram,,,first,,,,,PAl,R,Almodovar,Almodovar,,@1980,,,,y(19yy),,PAl21,,"
   ",,,,\Sp,,,,,Almodovar,,,,,,,Augustin Almodovar,col,,,,N,,,,NR,,,,,,14Jul1990,,,,,,city,,Barcelona,Spain,,Miramax,,,Todo sobre mi madre,,,,,1999
